['refuge r_syn  chien', 18]
['ours r_syn-1 sous-espèce', 17]
['ours r_syn  sous-espèce', 17]
['refuge r_syn-1 chien', 15]
['conservation r_syn-1 union', 14]
['pelage r_syn-1 couleur', 12]
['famille r_syn-1 mammifère', 12]
['armoirie r_syn  ours', 12]
['nature r_syn  conservation', 12]
['pelage r_syn  couleur', 11]
['famille r_syn  mammifère', 11]
['armoirie r_syn-1 ours', 10]
['nature r_syn-1 conservation', 10]
['conservation r_syn  union', 10]
['sous-espèce r_syn-1 différenciation', 7]
['mastiff r_syn-1 croisement', 7]
['voyageur r_syn-1 territoire', 7]
['étranger r_syn-1 caractère', 7]
['maladie r_syn-1 étiologie', 7]
['anémie r_syn-1 étiologie', 7]
['race r_syn-1 chien', 7]
['société r_syn-1 branche', 7]
['refuge r_syn-1 association', 7]
['sein r_syn-1 ours', 7]
['bile r_syn-1 marché', 7]
['population r_syn-1 commerce', 7]
['prémolaire r_syn-1 cuspide', 7]
['mastication r_syn-1 denture', 7]
['espèce-ci r_syn-1 masse', 7]
['art r_syn-1 homme', 7]
['occupation r_syn-1 époque', 7]
['ours r_syn  incident', 7]
['cinquantaine r_syn-1 population', 7]
['époque r_syn-1 symbolique', 7]
['régime r_syn-1 ursidé', 7]
['reste r_syn-1 teinte', 7]
['ouest r_syn-1 bande', 7]
['région r_syn-1 mosaïque', 7]
['usage r_syn  homme', 6]
['chien r_syn  lignée', 6]
['troupeau r_syn  protection', 6]
['chien r_syn  famille', 6]
['territoire r_syn  ensemble', 6]
['surface r_syn  repérage', 6]
['protection r_syn  cadre', 6]
['train r_syn  accident', 6]
['année r_syn  jour', 6]
['aéroport r_syn  bagage', 6]
['agriculture r_syn  département', 6]
['siècle r_syn  fil', 6]
['pratique r_syn  filière', 6]
['viande r_syn  commerce', 6]
['école r_syn  sortie', 6]
['travail r_syn  vie', 6]
['sida r_syn  virus', 6]
['élevage r_syn  service', 6]
['investigation r_syn  champ', 6]
['année r_syn  fin', 6]
['caniche r_syn  croisement', 6]
['cavalier r_syn  caractéristique', 6]
['chenil r_syn  construction', 6]
['chien r_syn  enclo', 6]
['char r_syn  explosif', 6]
['chien r_syn  dos', 6]
['combat r_syn  bruit', 6]
['race r_syn  histoire', 6]
['tombe r_syn  occupant', 6]
['montagne r_syn  chasse', 6]
['race r_syn  effectif', 6]
['groupe r_syn  race', 6]
['prévention r_syn  société', 6]
['chien r_syn  identification', 6]
['chien r_syn  plupart', 6]
['chien r_syn  origine', 6]
['animal r_syn  propriété', 6]
['animal r_syn  droit', 6]
['propriétaire r_syn  droit', 6]
['rat r_syn  chasse', 6]
['rat r_syn  invasion', 6]
['famille r_syn  sein', 6]
['hémisphère r_syn  fois', 6]
['espèce r_syn  plupart', 6]
['viande r_syn  préhistoire', 6]
['humain r_syn  empiétement', 6]
['tonne r_syn  poids', 6]
['fragment r_syn  découverte', 6]
['molaire r_syn  auteur', 6]
['site r_syn  M2', 6]
['dent r_syn  allongement', 6]
['systématique r_syn  étude', 6]
['molaire r_syn  métaconide', 6]
['ailuropodiné r_syn  sous-famille', 6]
['début r_syn  apparition', 6]
['taille r_syn  moitié', 6]
['dent r_syn  spécialisation', 6]
['sous-famille r_syn  groupe', 6]
['clade r_syn  support', 6]
['super-famille r_syn  pinnipède', 6]
['mammifère r_syn  fossile', 6]
['cours r_syn  nord', 6]
['partie r_syn  disparition', 6]
['ère r_syn  cours', 6]
['ours r_syn  masse', 6]
['espèce r_syn  femelle', 6]
['mâle r_syn  tiers', 6]
['échantillon r_syn  faiblesse', 6]
['être r_syn  attaque', 6]
['paroi r_syn  lacération', 6]
['caverne r_syn  paroi', 6]
['grotte r_syn  cas', 6]
['griffade r_syn  partie', 6]
['grotte r_syn  occupation', 6]
['moustérien r_syn  fin', 6]
['ours r_syn  griffade', 6]
['homme r_syn  commensal', 6]
['marquage r_syn  intensité', 6]
['ursidé r_syn  famille', 6]
['grizzli r_syn  existence', 6]
['ours r_syn  férocité', 6]
['hybridation r_syn  résultat', 6]
['pelage r_syn  ours', 6]
['ours r_syn-1 incident', 6]
['habitation r_syn  reprise', 6]
['famille r_syn  maison', 6]
['animal r_syn  vision', 6]
['animal r_syn  territoire', 6]
['famille r_syn  chef', 6]
['ours r_syn  utilisation', 6]
['armoirie r_syn  usage', 6]
['ours r_syn  blason', 6]
['blason r_syn  plupart', 6]
['pyramide r_syn  sommet', 6]
['natation r_syn  adaptation', 6]
['océan r_syn  bord', 6]
['habitat r_syn  bouleversement', 6]
['bile r_syn  utilisation', 6]
['tibétain r_syn  bétail', 6]
['teinte r_syn  fourrure', 6]
['membre r_syn  force', 6]
['patte r_syn  talon', 6]
['ours r_syn  fourrure', 6]
['garrot r_syn  poil', 6]
['corps r_syn  reste', 6]
['queue r_syn  nez', 6]
['habitat r_syn  destruction', 6]
['mer r_syn  ouest', 6]
['ours r_syn  ancêtre', 6]
['narine r_syn  ouverture', 6]
['femelle r_syn  crâne', 6]
['mosaïque r_syn  représentation', 6]
['conservation r_syn  partisan', 6]
['histoire r_syn  cours', 6]
['ours r_syn  culte', 6]
['ADN r_syn  analyse', 6]
['caverne r_syn  ours', 6]
['usage r_syn-1 homme', 5]
['élevage r_syn  agriculture', 5]
['élevage r_syn-1 agriculture', 5]
['chien r_syn-1 lignée', 5]
['apparition r_syn  sous-espèce', 5]
['apparition r_syn-1 sous-espèce', 5]
['sous-espèce r_syn  différenciation', 5]
['troupeau r_syn-1 protection', 5]
['chien r_syn-1 famille', 5]
['lévrier r_syn  mastiff', 5]
